order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Welcome,Intro,welcome/intro,info-circle,/lessons/welcome/intro,"Join Brian Holt in 'Intermediate React v6' for Frontend Masters to gain expertise in server-side and performance capabilities of React. This comprehensive course requires prior knowledge from 'The Complete Intro to React v9' and focuses on leveraging React's inherent tools for web development, making it ideal for anyone with a foundational understanding of React. Brian Holt, an experienced React developer, provides hands-on projects and detailed instructions, enhancing your React skills and knowledge."
01B,Welcome,My Setup,welcome/my-setup,info-circle,/lessons/welcome/my-setup,"Explore Brian Holt's 'Intermediate React v6' course, providing insights on the use of Node.js, preferred development tools like Visual Studio Code, and a balanced perspective on AI integration in coding. Learn how these tools and technologies enhance the process of writing efficient React Server Components, as taught for Frontend Masters."
01C,Welcome,React 19,welcome/react-19,info-circle,/lessons/welcome/react-19,"Explore the new features of React 19, focusing on React Server Components, which enable partial server-side rendering of React components, a feature that facilitates safe database querying directly within React. Discover insights into this cutting-edge technology, stable since 2023 and actively developed since 2022, with guidance from expert Brian Holt. Ideal for developers aiming to leverage the latest advancements in React functionality."
02A,React Render Modes,Client-Side React,react-render-modes/client-side-react,paint-roller,/lessons/react-render-modes/client-side-react,"Learn about React Server Components in the 'Intermediate React v6' course by Brian Holt on Frontend Masters. Understand the trade-offs of React Server Components and different React rendering methods, including client-side, server-side, and static site generation. Explore the benefits and limitations of these approaches and optimize your web development skills using advanced React techniques."
02B,React Render Modes,Static Site Generation,react-render-modes/static-site-generation,paint-roller,/lessons/react-render-modes/static-site-generation,"Learn how to implement Static Site Generation (SSG) using React and Next.js, with expert guidance from Brian Holt in the Intermediate React v6 course at Frontend Masters. Discover the simplicity of generating static web pages for content-heavy sites and explore how this streamlined approach can expedite course creation without sacrificing quality. Enhance your knowledge on using modern frameworks like Astro and Next.js for optimized static content delivery."
02C,React Render Modes,Server Side Rendering,react-render-modes/server-side-rendering,paint-roller,/lessons/react-render-modes/server-side-rendering,"Discover how to enhance your React app's performance with server-side rendering (SSR) as demonstrated by Brian Holt in the Intermediate React v6 course for Frontend Masters. Learn how to implement SSR by hand to optimize time to interactive and first meaningful paint, along with considerations for complexity and device performance. Explore practical examples of SSR app setup with Fastify, Vite, and React, including handling browser-only scripts and overcoming hydration errors."
03A,RSCs without a Framework,Intro to React Server Components,rscs-without-a-framework/intro-to-react-server-components,file-code,/lessons/rscs-without-a-framework/intro-to-react-server-components,"In the Intermediate React v6 course by Brian Holt from Frontend Masters, explore the concept of React Server Components (RSCs) and their role in rendering components on the server for improved performance and security. Learn how RSCs differ from server-side rendering and how to implement them using frameworks like Next.js. The course also involves building a messaging app to practice hand-coding with RSCs."
03B,RSCs without a Framework,RSC Dependencies,rscs-without-a-framework/rsc-dependencies,file-code,/lessons/rscs-without-a-framework/rsc-dependencies,"Learn how to set up a React Server Components project from scratch using Webpack and Babel, with guidance from Brian Holt's Intermediate React v6 course on Frontend Masters. This comprehensive guide includes configuring Webpack, Babel, and Fastify to run RSCs efficiently without additional frameworks, enhancing your web development skills."
03C,RSCs without a Framework,Server and Client Components,rscs-without-a-framework/server-and-client-components,file-code,/lessons/rscs-without-a-framework/server-and-client-components,"Learn how to build a simple React app with server and client components using React Server Components as taught by Brian Holt in Intermediate React v6 for Frontend Masters. Discover the differences between client and server components, and how to implement async functions in server components for efficient rendering."
03D,RSCs without a Framework,The RSC Server,rscs-without-a-framework/the-rsc-server,file-code,/lessons/rscs-without-a-framework/the-rsc-server,"Explore how to use Fastify to serve a React app with server components by setting up a Node.js server that handles both client-side and server-side rendering. Written by Brian Holt for Frontend Masters, this guide offers step-by-step integration of React and Fastify, demonstrating the use of React Flight Protocol and reinforcing React's modular framework for advanced web development."
